STT,Câu Hỏi,Dịch Câu Hỏi,Trả Lời,Dịch Câu Trả lời
32,"Other physical activities that can burn a significant number of calories in 30 minutes include running, cycling, and aerobic exercises like jumping jacks or burpees.","Ngoài bơi lội, những hoạt động thể chất nào khác giúp đốt cháy nhiều calo trong 30 phút?",Running * Cycling * Jumping rope * Playing tennis * Gym workouts,Chạy bộ * Đạp xe * Nhảy dây * Chơi tennis * Tập gym
33,"Comparing the calorie burn of swimming for 30 minutes with running for 30 minutes, swimming typically burns fewer calories due to the water's buoyancy reducing impact and resistance.",So sánh lượng calo đốt cháy khi bơi 30 phút với chạy bộ 30 phút?,"The calorie burn during 30 minutes of swimming is equivalent to the calorie burn during 30 minutes of running. However, swimming has less impact on joints and muscles compared to running.","Lượng calo đốt cháy khi bơi 30 phút tương đương với lượng calo đốt cháy khi chạy bộ 30 phút. Tuy nhiên, bơi lội tác động ít hơn đến khớp và cơ bắp hơn so với chạy bộ."
34,"Factors influencing calorie burn when swimming for 30 minutes include intensity, stroke efficiency, body composition, and individual metabolic rate.",Yếu tố nào ảnh hưởng đến lượng calo đốt cháy khi bơi 30 phút?,Weight * Swimming intensity * Swimming style * Water temperature,Cân nặng * Cường độ bơi * Kiểu bơi * Nhiệt độ nước
35,"To increase calorie burn when swimming for 30 minutes, individuals can incorporate interval training, increase stroke intensity, and focus on maintaining proper technique.",Làm thế nào để tăng lượng calo đốt cháy khi bơi 30 phút?,"Swimming at a higher intensity * Swimming different styles burns more calories, such as butterfly stroke * Swimming in colder water * Combining swimming with other exercises","Bơi với cường độ cao hơn * Bơi các kiểu bơi đốt cháy nhiều calo hơn, như bơi bướm * Bơi trong nước lạnh hơn * Kết hợp bơi lội với các bài tập khác"
36,"Whether swimming for 30 minutes is enough to lose weight depends on various factors such as diet, overall activity level, and individual metabolic rate.",Lượng calo đốt cháy khi bơi 30 phút có đủ để giảm cân hay không?,"The calorie burn during 30 minutes of swimming can help you lose weight, but you also need to combine it with a healthy diet for the best results.","Lượng calo đốt cháy khi bơi 30 phút có thể giúp bạn giảm cân, nhưng bạn cũng cần kết hợp với chế độ ăn uống lành mạnh để đạt hiệu quả tốt nhất."
37,"Benefits of swimming include improved cardiovascular health, increased muscle strength and endurance, enhanced flexibility, and stress relief.",Lợi ích của bơi lội?,"Improves cardiovascular health, strength, and flexibility.","Tăng cường sức khỏe tim mạch, sức mạnh và sự linh hoạt."
38,"In addition to health benefits, swimming provides social interaction, relaxation, and opportunities for recreational enjoyment.","Ngoài những lợi ích về sức khỏe, bơi lội còn mang lại những lợi ích nào khác?","Reduces stress and improves mood: Swimming releases endorphins, a type of hormone that improves mood and reduces stress.","Giảm căng thẳng và cải thiện tâm trạng:** Bơi lội giúp giải phóng endorphin, một loại hormone giúp cải thiện tâm trạng và giảm căng thẳng"
39,"Comparing the benefits of swimming with other sports like running and cycling, swimming offers a full-body workout with low impact on joints, making it suitable for individuals of all ages and fitness levels.",So sánh lợi ích của bơi lội với các môn thể thao khác như chạy bộ và đạp xe?,Has less impact on joints and muscles: Swimming is a low-impact sport that helps reduce the risk of injuries.,"Tác động ít hơn đến khớp và cơ bắp:** Bơi lội là môn thể thao ít tác động, giúp giảm nguy cơ chấn thương."
40,"The most important benefit of swimming for older adults is its low-impact nature, which helps maintain joint health and mobility while providing a challenging cardiovascular workout.",Lợi ích nào của bơi lội là quan trọng nhất đối với người cao tuổi?,Enhancing cardiovascular health: Swimming helps strengthen cardiovascular health and reduce the risk of cardiovascular diseases.,Tăng cường sức khỏe tim mạch:** Bơi lội giúp tăng cường sức khỏe tim mạch và giảm nguy cơ mắc các bệnh tim mạch.
41,Is swimming suitable for people with injuries?,Bơi lội có phù hợp cho người bị chấn thương hay không?,"Swimming can be suitable for people with injuries, depending on the type of injury. However, it is important to consult a doctor before starting swimming.","Bơi lội có thể phù hợp cho người bị chấn thương, tùy thuộc vào loại chấn thương. Tuy nhiên, cần tham khảo ý kiến bác sĩ trước khi bắt đầu tập bơi."
42,How to combine swimming with other physical activities for the best effectiveness?,Làm thế nào để kết hợp bơi lội với các hoạt động thể chất khác để đạt hiệu quả tốt nhất?,Running helps improve muscle strength and endurance.,Chạy bộ giúp tăng cường sức mạnh và sức bền của cơ bắp.
43,Safety precautions when swimming.,Lưu ý an toàn khi bơi,"Swim with a buddy, not alone, have someone supervise, pay attention to the surrounding environment, and do not swim when tired.","Bơi cùng bạn, không bơi một mình, có người giám sát, chú ý môi trường xung quanh, không bơi khi mệt mỏi."
44,"Besides basic safety precautions, are there any other safety considerations to remember when swimming?","Ngoài những lưu ý an toàn cơ bản, còn có những lưu ý nào khác cần ghi nhớ khi bơi?",Proper warm-up before swimming: Warm-up helps warm up the body and reduce the risk of injury.,Khởi động kỹ trước khi bơi:** Khởi động giúp làm nóng cơ thể và giảm nguy cơ chấn thương.
45,Comparing the safety level of swimming alone versus swimming with others.,So sánh mức độ nguy hiểm của việc bơi một mình và bơi cùng người khác?,"Swimming alone is more dangerous than swimming with others. When swimming alone, you will not have anyone to assist you if you encounter danger.","Bơi một mình nguy hiểm hơn nhiều so với bơi cùng người khác. Khi bơi một mình, bạn sẽ không có ai hỗ trợ nếu gặp nguy hiểm."
46,The most important safety consideration for children when swimming.,Lưu ý an toàn nào quan trọng nhất đối với trẻ em khi bơi?,Always have adult supervision while swimming: Children should not swim alone under any circumstances.,Luôn có người lớn giám sát khi bơi:** Trẻ em không nên bơi một mình dưới bất kỳ hình thức nào.
47,Safety precautions that need to be adjusted when swimming in the ocean.,Lưu ý an toàn nào cần thay đổi khi bơi ở biển?,"Pay attention to ocean waves: Ocean waves can be dangerous, so you need to be attentive and cautious.","Chú ý đến sóng biển:** Sóng biển có thể nguy hiểm, vì vậy bạn cần chú ý và cẩn thận."
48,How to integrate swimming safety knowledge with swimming skills for a safe and enjoyable swimming experience?,Làm thế nào để kết hợp kiến thức về an toàn khi bơi với kỹ năng bơi lội để có trải nghiệm bơi lội an toàn và enjoyable?,"To combine knowledge of swimming safety with swimming skills, you need to:","Để kết hợp kiến thức về an toàn khi bơi với kỹ năng bơi lội, bạn cần:"
49,Common mistakes when swimming.,Sai lầm thường gặp khi bơi?,"Incorrect head position, kicking from the hips, incorrect arm use, over-breathing.","Vị trí đầu sai, không đá chân từ hông, sử dụng tay không đúng, thở quá mức."
50,"Besides basic mistakes, what are other common mistakes when swimming?","Ngoài những sai lầm cơ bản, còn có những sai lầm nào khác thường gặp khi bơi?",Incorrect swimming posture can lead to injuries and decrease swimming efficiency.,Bơi sai tư thế:** Bơi sai tư thế có thể dẫn đến chấn thương và giảm hiệu quả bơi.
51,Comparing the impact of swimming with poor technique versus swimming excessively.,So sánh mức độ ảnh hưởng của việc bơi sai kỹ thuật và bơi quá sức?,"Incorrect technique can affect swimming efficiency and cause discomfort, but is less dangerous than overexertion. Overexertion can lead to exhaustion and cramps, and even pose a life-threatening risk.","Bơi sai kỹ thuật có thể ảnh hưởng đến hiệu quả bơi và gây ra cảm giác khó chịu, nhưng ít nguy hiểm hơn so với bơi quá sức. Bơi quá sức có thể dẫn đến kiệt sức và chuột rút, thậm chí nguy hiểm đến tính mạng."
52,The most common mistake for beginner swimmers.,Sai lầm nào thường gặp nhất ở người mới học bơi?,Holding breath while swimming can lead to oxygen deprivation and affect swimming efficiency.,ín thở khi bơi:** Nín thở khi bơi có thể dẫn đến thiếu oxy và ảnh hưởng đến hiệu quả bơi.
53,How to correct mistakes when swimming?,Làm thế nào để khắc phục sai lầm khi bơi?,Regular practice helps improve swimming skills and correct mistakes.,Luyện tập thường xuyên:** Luyện tập thường xuyên giúp bạn nâng cao kỹ năng bơi lội và sửa chữa những sai lầm.
54,How to combine correcting swimming mistakes with improving swimming skills?,Làm thế nào để kết hợp việc sửa sai lầm khi bơi với việc nâng cao kỹ năng bơi lội?,Learn how to correct mistakes through instructional materials or seek guidance from experienced individuals.,Tìm hiểu cách sửa sai:** Tìm hiểu cách sửa sai thông qua các tài liệu hướng dẫn hoặc nhờ người có kinh nghiệm hướng dẫn.
55,Ways to improve swimming technique.,Cách cải thiện kỹ thuật bơi?,"Regular practice, watching videos of professional athletes.","luyện tập thường xuyên, xem video vận động viên chuyên nghiệp"
56,"Besides basic methods, are there other ways to improve swimming technique?","Ngoài những cách cơ bản, còn có những cách nào khác để cải thiện kỹ thuật bơi?","Using supportive tools such as hand paddles, swim fins can help you focus on improving technique.","Sử dụng các dụng cụ hỗ trợ:** Sử dụng các dụng cụ hỗ trợ như phao tay, vây bơi có thể giúp bạn tập trung vào việc cải thiện kỹ thuật."
57,Comparing the effectiveness of improving swimming technique through self-practice versus attending swimming classes.,So sánh hiệu quả của việc cải thiện kỹ thuật bơi bằng cách tự luyện tập và tham gia các lớp học bơi?,Joining swimming classes is often more effective than self-training. This is because you receive proper guidance and technical corrections from experienced individuals.,Tham gia các lớp học bơi thường hiệu quả hơn so với tự luyện tập. Lý do là vì bạn được hướng dẫn bài bản và sửa lỗi kỹ thuật bởi những người có kinh nghiệm.
58,The most important technique to improve when swimming.,Kỹ thuật nào quan trọng nhất cần cải thiện khi bơi?,The most important technique to improve in swimming is breathing technique. Proper breathing technique helps provide enough oxygen to the body and allows you to swim for longer without getting tired.,Kỹ thuật quan trọng nhất cần cải thiện khi bơi là kỹ thuật thở. Kỹ thuật thở đúng cách giúp bạn cung cấp đủ oxy cho cơ thể và bơi lâu hơn mà không bị mệt mỏi.
59,How to apply newly learned techniques to practice?,Làm thế nào để áp dụng những kỹ thuật mới học được vào thực tế?,"To apply newly learned techniques to practice, you need to: Start slowly and gradually increase the intensity of training once you are comfortable with the new technique.","Để áp dụng những kỹ thuật mới học được vào thực tế, bạn cần:Bắt đầu từ từ Bắt đầu từ từ và tăng dần cường độ luyện tập khi bạn đã quen với kỹ thuật mới."
60,How to combine improving swimming technique with increasing endurance?,Làm thế nào để kết hợp việc cải thiện kỹ thuật bơi với việc nâng cao sức bền?,Pay attention to nutrition: A balanced diet helps provide enough energy for the body and aids in post-workout recovery.,Chú ý đến chế độ dinh dưỡng:** Chế độ dinh dưỡng hợp lý giúp bạn cung cấp đủ năng lượng cho cơ thể và phục hồi sức khỏe sau khi tập luyện.
61,Who invented basketball?,Môn bóng rổ được phát minh bởi ai?,"James Naismith, an American physical education teacher, invented basketball in 1891.","James Naismith, một giáo viên thể dục người Mỹ, đã phát minh ra môn bóng rổ vào năm 1891."
62,"Besides James Naismith, who contributed to the development of basketball?","Ngoài James Naismith, còn có những ai đóng góp vào sự phát triển của môn bóng rổ?",Luther Gulick: Gulick proposed the idea of an indoor sport that could be played during winter.,Luther Gulick:** Gulick là người đề xuất ý tưởng về một môn thể thao trong nhà có thể chơi được vào mùa đông.
63,Comparing the roles of James Naismith and Luther Gulick in inventing basketball.,So sánh vai trò của James Naismith và Luther Gulick trong việc phát minh ra môn bóng rổ?,"James Naismith invented basketball, but Luther Gulick proposed the idea of an indoor sport that could be played during winter. This idea inspired Naismith to create basketball.","James Naismith là người phát minh ra môn bóng rổ, nhưng Luther Gulick là người đề xuất ý tưởng về một môn thể thao trong nhà có thể chơi được vào mùa đông. Chính ý tưởng này đã truyền cảm hứng cho Naismith tạo ra môn bóng rổ."
64,What event marked the official birth of basketball?,Sự kiện nào đánh dấu sự ra đời chính thức của môn bóng rổ?,"The official birth of basketball was marked by the first game held on January 20, 1892, at the YMCA International Training School in Springfield, Massachusetts.","Sự kiện đánh dấu sự ra đời chính thức của môn bóng rổ là trận đấu đầu tiên được tổ chức vào ngày 20 tháng 1 năm 1892 tại YMCA International Training School ở Springfield, Massachusetts."
65,How have basketball rules changed since its invention?,Luật chơi bóng rổ đã thay đổi như thế nào kể từ khi được phát minh?,"Court dimensions: The original court was much smaller than the current court. *Number of players: Initially, each team had 9 players. Later, the number of players was reduced to 5 players per team.","Kích thước sân thi đấu:** Sân thi đấu ban đầu nhỏ hơn nhiều so với sân thi đấu hiện nay. * **Số lượng người chơi:** Ban đầu, mỗi đội có 9 người chơi. Sau đó, số lượng người chơi được giảm xuống còn 5 người chơi mỗi đội."
66,How to combine knowledge of basketball history with playing basketball?,Làm thế nào để kết hợp kiến thức về lịch sử bóng rổ với việc chơi bóng rổ?,Read books and literature about basketball: Reading books and literature about basketball helps you better understand the history and rules of the game.,Đọc sách và tài liệu về bóng rổ:** Đọc sách và tài liệu về bóng rổ giúp bạn hiểu rõ hơn về lịch sử và luật chơi của môn bóng rổ.
67,What are the dimensions of a basketball court?,Sân thi đấu bóng rổ có kích thước bao nhiêu?,The standard size of a basketball court is 28m x 15m.,Sân thi đấu bóng rổ có kích thước tiêu chuẩn là 28m x 15m.
68,"Besides standard dimensions, what other sizes does a basketball court have?","Ngoài kích thước tiêu chuẩn, sân thi đấu bóng rổ còn có những kích thước nào khác?","NCAA: 84 feet long (25.6m), 50 feet wide (15.24m).","NCAA:** Chiều dài 84 feet (25.6m), rộng 50 feet (15.24m)."
69,Comparing the dimensions of FIBA and NBA basketball courts.,So sánh kích thước sân thi đấu bóng rổ của FIBA và NBA?,"The FIBA basketball court is smaller than the NBA basketball court. The FIBA court is 28m long and 15m wide, while the NBA court is 28.65m long and 15.24m wide.","Sân thi đấu bóng rổ của FIBA nhỏ hơn sân thi đấu bóng rổ của NBA. Sân thi đấu FIBA dài 28m, rộng 15m, trong khi sân thi đấu NBA dài 28.65m, rộng 15.24m."
70,Which dimension is most important for a basketball court?,Kích thước nào là quan trọng nhất đối với sân thi đấu bóng rổ?,The most important dimension for a basketball court is the width. The width of the court needs to be wide enough for players to move and play comfortably.,Kích thước quan trọng nhất đối với sân thi đấu bóng rổ là chiều rộng. Chiều rộng sân thi đấu cần đủ rộng để các cầu thủ có thể di chuyển và chơi bóng thoải mái.
71,How to change the size of a basketball court?,Làm thế nào để thay đổi kích thước sân thi đấu bóng rổ?,"To change the size of a basketball court, the boundary lines of the court need to be redrawn according to the new dimensions.","Để thay đổi kích thước sân thi đấu bóng rổ, cần vẽ lại các đường biên sân theo kích thước mới."
72,How to integrate knowledge of basketball court dimensions with playing basketball?,Làm thế nào để kết hợp kiến thức về kích thước sân thi đấu bóng rổ với việc chơi bóng rổ?,Understanding the rules: Understanding the rules helps you know the valid dimensions of a basketball court.,Hiểu rõ luật chơi:** Hiểu rõ luật chơi giúp bạn biết được kích thước sân thi đấu hợp lệ.
73,How many players are there on each basketball team on the court?,Mỗi đội bóng rổ có bao nhiêu cầu thủ trên sân?,Each basketball team has 5 players on the court.,Mỗi đội bóng rổ có 5 cầu thủ trên sân.
74,"Besides the 5 official players on the court, how many substitutes does each basketball team have?","Ngoài 5 cầu thủ chính thức trên sân, mỗi đội bóng rổ còn có bao nhiêu cầu thủ dự bị?",FIBA: 7 substitute players. NBA: 7 substitute players.,FIBA:7 cầu thủ dự bị. NBA:7 cầu thủ dự bị.
75,Compare the number of players on the court between 5x5 basketball and 3x3 basketball.,So sánh số lượng cầu thủ trên sân của bóng rổ 5x5 và bóng rổ 3x3?,"A 5x5 basketball has 5 players per team on the court, while a 3x3 basketball has only 3 players per team on the court.","Bóng rổ 5x5 có 5 cầu thủ mỗi đội trên sân, trong khi bóng rổ 3x3 chỉ có 3 cầu thủ mỗi đội trên sân."
76,What is the role of substitutes in basketball?,Vai trò của cầu thủ dự bị trong bóng rổ là gì?,"Substitute players have the role of replacing the official players when they are fouled, tired, or injured."," Cầu thủ dự bị có vai trò thay thế cho các cầu thủ chính thức khi họ bị phạm lỗi, mệt mỏi hoặc chấn thương."
77,What are the regulations for substitutions in basketball?,Quy định về thay người trong bóng rổ là gì?,Number of substitutions: There is no limit on the number of substitutions.,Số lượng thay người:** Không giới hạn số lượng thay người.
78,What is the size of a basketball?,Quả bóng rổ có kích thước bao nhiêu?,The circumference of a basketball ranges from 74.9cm to 78cm.,"Quả bóng rổ có chu vi từ 74,9cm đến 78cm."
79,"Besides the standard size, what other sizes does a basketball have?","Ngoài kích thước tiêu chuẩn, quả bóng rổ còn có những kích thước nào khác?","Size 1: Diameter of 12.7 - 14 cm, for children under 3 years old.","Size 1:** Đường kính 12.7 - 14 cm, dành cho trẻ em dưới 3 tuổi."
80,Compare the size of a size 5 basketball and a size 7 basketball.,So sánh kích thước của quả bóng rổ size 5 và size 7?,"A size 5 basketball is smaller than a size 7 basketball. Size 5 has a diameter of 22.9 - 23.7 cm, while size 7 has a diameter of 24.6 - 25.4 cm.","Quả bóng rổ size 5 có kích thước nhỏ hơn quả bóng rổ size 7. Size 5 có đường kính 22.9 - 23.7 cm, while size 7 có đường kính 24.6 - 25.4 cm."
81,What is the most important factor influencing the size of a basketball?,Yếu tố nào quan trọng nhất ảnh hưởng đến kích thước của quả bóng rổ?,The most important factor influencing the size of a basketball is the age and gender of the player.,Yếu tố quan trọng nhất ảnh hưởng đến kích thước của quả bóng rổ là độ tuổi và giới tính của người chơi.
82,How to choose a basketball suitable for one's own size?,Làm thế nào để chọn được quả bóng rổ phù hợp với kích thước của bản thân?,Determine your age and gender.,Xác định độ tuổi và giới tính của mình
83,How to integrate knowledge of basketball size with playing basketball?,Làm thế nào để kết hợp kiến thức về kích thước quả bóng rổ với việc chơi bóng rổ?,Choose a basketball that is suitable for your size.,Chọn quả bóng rổ phù hợp với kích thước của bản thân
84,What is the objective of playing basketball?,Mục tiêu của trò chơi bóng rổ là gì?,The objective of the game of basketball is to throw the ball into the opposing team's basket to score points.,Mục tiêu của trò chơi bóng rổ là ném bóng vào rổ của đội kia để ghi điểm.
85,"Besides scoring points, what other objectives are there in basketball?","Ngoài ghi điểm, còn có những mục tiêu nào khác trong trò chơi bóng rổ?",Enjoy the game: Have fun and enjoy the pleasure of playing basketball.,Thưởng thức trò chơi:** Vui vẻ và tận hưởng niềm vui khi chơi bóng rổ.
86,Compare the objectives of 5x5 basketball and 3x3 basketball.,So sánh mục tiêu của bóng rổ 5x5 và bóng rổ 3x3?,"The overall goal of both forms of basketball is to score more points than the opposing team. However, 3x3 basketball has a faster pace and requires more individual skills compared to 5x5 basketball.","ục tiêu chung của cả hai loại hình bóng rổ đều là ghi điểm nhiều hơn đội đối phương. Tuy nhiên, bóng rổ 3x3 có nhịp độ nhanh hơn và đòi hỏi nhiều kỹ năng cá nhân hơn so với bóng rổ 5x5."
